X,Y
253.415,2.009
253.141,2.012
252.866,2.015
252.591,2.018
252.316,2.021
252.041,2.024
251.767,2.027
251.492,2.030
251.217,2.033
250.942,2.036
250.668,2.039
251.544,2.040
252.796,2.041
254.047,2.042
255.299,2.042
256.551,2.043
257.803,2.044
259.054,2.044
260.306,2.045
261.558,2.045
262.810,2.046
264.061,2.047
265.313,2.047
266.565,2.048
267.817,2.048
269.068,2.049
270.320,2.050
270.674,2.050
269.544,2.048
268.415,2.047
267.285,2.046
266.156,2.045
265.026,2.043
263.896,2.042
262.767,2.041
261.637,2.040
260.507,2.039
259.378,2.037
258.248,2.036
257.119,2.035
255.989,2.034
254.859,2.032
253.730,2.031
252.600,2.030
